Date,Inflows in last 24 Hrs. in Mcft.,17.75_77.5,18.0_77.5,18.5_76.0,18.25_77.0,18.25_76.5,18.75_75.75,18.5_76.75,18.75_76.25,18.0_77.25,17.75_77.25,18.0_76.75,18.25_76.25,18.25_76.0,18.0_76.5,18.0_77.0,18.75_76.0,18.5_76.5,18.75_75.5,18.25_76.75,18.25_77.25,18.5_76.25,17.75_77.75
2016-06-01,0.0,1.3517,0.8035,0.0,0.1306,1.0956,0.0,0.0,0.0,1.32,1.2547,3.0043,0.6066,0.0,3.3813,1.028,0.0,0.0,0.0,1.0864,0.0,0.0,0.7896
2016-06-02,0.0,0.0,0.0,0.0,0.1306,1.0956,0.0,0.0,0.0,0.0,0.1136,1.9793,0.6066,0.0,1.787,0.319,0.0,0.0,0.0,1.0864,0.0,0.0,1.3466
2016-06-03,0.0,2.9531,1.5035,0.1434,4.3113,0.5617,0.0,0.5167,1.9604,2.4926,2.3738,0.0,2.4313,7.8554,0.2657,0.4043,0.0,0.0,0.9836,4.9859,10.3546,0.5521,3.366
2016-06-04,0.0,9.0632,5.9713,3.4096,16.0766,18.9476,2.6127,20.1936,0.0,8.6093,8.3969,19.2251,19.5036,18.625,20.2813,15.3665,1.9275,19.897,3.1778,18.0437,8.884,12.3293,23.3308
2016-06-05,0.0,31.3224,26.2087,22.79,4.7611,14.8092,19.112,7.7682,18.9201,34.3615,33.4363,21.057,18.1992,30.925,19.78,15.6656,16.2677,8.1878,24.0735,12.7965,13.5855,12.913,10.5716
2016-06-06,0.0,40.9156,29.0153,0.0,0.8258,3.4644,0.0,5.6465,0.0,57.0143,53.8724,6.5183,1.9472,0.0,6.2493,25.9692,0.0,1.912,2.3729,3.08,1.5239,0.6002,9.4167
2016-06-07,0.0,2.6348,2.3363,2.628,0.3497,0.5283,3.3699,0.0,2.0389,2.7847,2.5594,4.5076,0.5319,0.198,0.0,8.1898,4.4542,0.8132,2.4176,0.1063,3.1749,1.4584,2.6512
2016-06-08,0.0,45.9767,32.2317,0.0,13.0443,0.6482,0.0,0.9153,0.0,52.7032,51.0448,1.3561,0.0,0.0,0.0,16.3042,0.0,0.4255,0.0,8.2053,8.0111,0.0,8.9817
2016-06-09,0.0,0.0,0.6815,0.0,9.7698,13.5124,0.0,0.1316,0.0,0.0,0.0,24.5337,7.481,0.0,22.2713,1.1932,0.0,0.0,0.0,15.8783,54.0723,0.0,0.0
2016-06-10,0.0,0.0,0.0,0.0,3.1293,2.6233,0.6075,0.3903,0.0,0.0,0.0,4.5751,1.2131,0.6263,5.4341,0.0,0.0,0.0,6.5153,5.8718,0.0,0.0,0.0
2016-06-11,0.0,4.5858,4.0122,0.0,12.6791,16.5468,0.0,95.9665,0.0,1.7128,4.8011,0.0,9.5745,0.0,0.4148,4.222,0.0,30.2116,0.0,13.8851,0.1429,10.803,3.2886
2016-06-12,0.0,0.5711,0.0,0.8855,0.3474,0.2532,2.2078,4.1525,2.0182,0.3238,1.5278,1.1651,0.0,0.0,0.0,4.2709,3.6868,1.707,0.4267,0.3634,0.0,0.5521,1.4364
2016-06-13,0.0,0.0,0.0,5.1885,0.1737,2.2398,2.9406,2.3124,11.7738,0.6259,3.3255,0.2409,4.1824,7.6077,0.3579,4.8299,0.8533,4.7281,11.1735,0.1817,0.0,6.1697,0.0
2016-06-14,0.0,0.4405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6933,0.0,0.0,0.0,0.0,0.2552,0.0,0.0,0.0,0.0,0.0,0.0,0.1186
2016-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0
2016-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-18,0.0,4.8899,2.8351,0.0,1.1656,0.0,0.0,0.0,0.0,4.7412,4.3063,0.0,0.0,0.0,0.0,0.2343,0.0,0.1418,7.6499,0.3542,6.4653,0.0,4.2589
2016-06-19,0.0,5.0729,3.9273,3.5816,22.2569,34.2217,3.401,13.2231,10.9366,9.5754,13.0017,38.9093,27.9826,8.2961,43.2279,33.1161,3.8806,28.3293,0.8226,33.4529,22.0524,23.7551,7.5577
2016-06-20,0.0,6.1535,2.0256,18.1343,9.552,9.586,23.812,0.856,3.5267,8.1129,27.0642,16.1299,23.2426,49.1822,3.7661,57.2913,28.2134,13.392,46.032,6.8613,4.7654,14.0983,10.1458
2016-06-21,0.0,0.0,0.1298,24.1886,0.3474,0.2532,25.1694,3.6804,23.086,0.0,0.0,0.1284,0.0,1.584,0.2427,0.0,25.338,1.2727,11.0667,0.3634,7.5896,11.0249,1.909
2016-06-22,0.0,55.0825,38.285,0.0,0.0,0.0,0.0,0.0,0.0,59.8651,53.9786,0.0,0.0,0.0,0.0,0.4148,0.0,0.0,0.0,0.0,7.4148,0.0,12.1903
2016-06-23,0.0,0.0,0.0,17.389,0.3041,4.7815,6.421,4.1768,3.9608,0.0,0.0,0.6598,4.4575,2.6731,0.78,0.0,2.8744,9.7748,1.0928,0.6347,0.0,7.7826,0.0
2016-06-24,0.0,0.6699,0.4392,7.6109,2.3519,1.4777,7.9287,13.8183,56.0778,0.7685,0.6936,1.1651,0.5319,0.0,0.0,2.1911,12.6388,4.6492,4.9178,1.6816,2.0055,16.9215,0.0
2016-06-25,0.0,22.9164,25.925,0.6735,4.2922,4.4602,1.577,6.4924,2.0017,21.053,18.954,9.3669,2.2241,0.0,7.6153,7.9964,2.6493,1.0808,0.0,5.5935,36.0128,0.5521,15.3812
2016-06-26,0.0,3.8042,4.2907,0.9815,5.3713,7.1087,0.7026,32.5484,7.8816,3.4688,3.8712,1.7467,10.0262,17.5887,1.6415,3.1391,0.9808,13.9902,0.0,4.5217,10.042,7.127,18.6846
2016-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.0
2016-06-28,0.0,8.2421,9.598,0.6735,1.1483,3.4134,2.063,2.1014,2.0017,4.8981,6.9279,6.0334,2.6903,3.3783,5.3611,4.5593,2.6493,0.9189,0.6843,3.6179,28.752,0.5521,8.654
2016-06-29,0.0,0.4755,1.3253,7.1243,0.1306,6.3786,11.1304,0.0,12.0656,2.6995,4.1725,4.7488,8.5757,9.8761,6.8003,7.0366,13.7982,7.8924,1.5903,1.0864,0.5738,10.7272,0.5188
2016-06-30,0.0,9.1109,11.1716,0.5675,3.5404,1.4218,1.5046,0.1194,1.999,8.8814,7.6971,2.2315,1.4014,0.4497,1.8433,6.581,2.1306,1.7083,0.7689,1.4248,13.9835,1.7525,8.3858
2016-07-01,0.0,0.7559,1.25,3.6716,4.5448,0.1266,6.3234,1.9107,0.1571,0.1214,0.0,0.685,0.0,0.0,1.2943,0.7349,6.8257,0.2917,0.0,1.5101,2.2135,1.0546,2.9163
2016-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
